age,workclass,education,Education-num,occupation,race,sex,Hours-per-week,wage
44, Local-gov, HS-grad,9, Protective-serv, White, Male,52, >50K
66, Self-emp-not-inc, 7th-8th,4, Farming-fishing, White, Male,48, <=50K
25, Private, Assoc-acdm,12, Tech-support, White, Female,25, <=50K
20,, Some-college,10,, White, Male,60, <=50K
26, Private, Some-college,10, Sales, White, Female,40, <=50K
33, Private, 9th,5, Machine-op-inspct, White, Male,50, <=50K
18, Private, 11th,7, Transport-moving, White, Male,16, <=50K
36, Private, HS-grad,9, Transport-moving, White, Male,40, <=50K
37, Self-emp-not-inc, HS-grad,9, Craft-repair, White, Male,40, <=50K
27, Private, Assoc-acdm,12, Exec-managerial, White, Male,40, <=50K
43, Self-emp-inc, HS-grad,9, Sales, White, Male,55, >50K
45, Self-emp-inc, Prof-school,15, Prof-specialty, White, Male,36, >50K
52, Private, Bachelors,13, Craft-repair, White, Male,50, >50K
47, Private, HS-grad,9, Craft-repair, White, Male,40, >50K
47, Private, Prof-school,15, Prof-specialty, White, Male,55, >50K
56, Private, HS-grad,9, Craft-repair, White, Male,40, <=50K
67, Private, HS-grad,9, Transport-moving, White, Male,60, <=50K
21, Private, Some-college,10, Prof-specialty, Amer-Indian-Eskimo, Female,4, <=50K
57, Private, Some-college,10, Craft-repair, White, Male,40, <=50K
40, Self-emp-inc, Bachelors,13, Sales, White, Male,40, >50K
31, Private, Assoc-voc,11, Craft-repair, White, Male,38, <=50K
24, Private, HS-grad,9, Craft-repair, White, Male,38, <=50K
31, Private, Some-college,10, Other-service, White, Female,40, <=50K
20, Private, Some-college,10, Craft-repair, White, Male,40, <=50K
65,, HS-grad,9,, White, Female,40, <=50K
74, Self-emp-not-inc, Bachelors,13, Exec-managerial, White, Male,12, >50K
55, Private, HS-grad,9, Farming-fishing, White, Male,45, >50K
36, Private, Bachelors,13, Exec-managerial, White, Male,45, <=50K
40, Private, Bachelors,13, Tech-support, White, Male,40, >50K
55, Self-emp-not-inc, Bachelors,13, Exec-managerial, White, Male,40, >50K
41, Private, Assoc-acdm,12, Adm-clerical, White, Female,38, <=50K
29, Private, Bachelors,13, Handlers-cleaners, Black, Male,80, >50K
17, Private, 10th,6, Handlers-cleaners, White, Male,10, <=50K
20, Private, HS-grad,9, Other-service, White, Male,40, <=50K
27, Private, HS-grad,9, Adm-clerical, White, Male,40, <=50K
42, Self-emp-not-inc, HS-grad,9, Craft-repair, White, Male,45, <=50K
41, Private, HS-grad,9, Adm-clerical, White, Male,48, <=50K
28, Private, Bachelors,13, Sales, White, Male,45, >50K
33, Private, HS-grad,9, Transport-moving, White, Male,40, <=50K
50, Private, HS-grad,9, Craft-repair, White, Male,45, <=50K
47, Federal-gov, Some-college,10, Handlers-cleaners, White, Male,40, >50K
43, Private, Masters,14, Exec-managerial, White, Male,50, >50K
39, Private, Some-college,10, Farming-fishing, White, Male,99, >50K
31, Private, 1st-4th,2, Prof-specialty, White, Male,45, <=50K
36, Local-gov, Some-college,10, Adm-clerical, Black, Male,40, <=50K
41, Private, HS-grad,9, Craft-repair, White, Male,60, <=50K
43, Self-emp-inc, HS-grad,9, Craft-repair, White, Male,50, <=50K
35, Private, Some-college,10, Exec-managerial, White, Male,36, <=50K
46,, HS-grad,9,, Black, Female,40, <=50K
38, Private, HS-grad,9, Adm-clerical, White, Male,45, >50K
53, Private, Bachelors,13, Exec-managerial, White, Male,70, <=50K
28, Private, Assoc-voc,11, Exec-managerial, Black, Female,40, <=50K
26, Private, HS-grad,9, Craft-repair, White, Male,35, <=50K
25, Local-gov, Bachelors,13, Prof-specialty, White, Female,40, <=50K
35, Private, HS-grad,9, Other-service, White, Female,40, >50K
35, Local-gov, HS-grad,9, Other-service, Black, Female,40, <=50K
22, Private, 11th,7, Machine-op-inspct, White, Male,70, >50K
44, Private, Bachelors,13, Adm-clerical, White, Male,45, <=50K
34, Self-emp-not-inc, Bachelors,13, Sales, Asian-Pac-Islander, Male,60, <=50K
41, Private, Masters,14, Prof-specialty, White, Male,40, >50K
35, State-gov, HS-grad,9, Craft-repair, White, Male,40, <=50K
25, Private, HS-grad,9, Other-service, Black, Female,35, <=50K
38, Private, HS-grad,9, Machine-op-inspct, White, Male,40, <=50K
50, Private, Bachelors,13, Tech-support, White, Male,20, >50K
29, Federal-gov, Bachelors,13, Exec-managerial, White, Male,40, >50K
41, Private, Bachelors,13, Adm-clerical, White, Male,40, <=50K
21,, Some-college,10,, White, Female,35, <=50K
55, Self-emp-not-inc, HS-grad,9, Craft-repair, White, Male,60, <=50K
46, Private, Bachelors,13, Adm-clerical, White, Female,25, <=50K
32,, HS-grad,9,, White, Male,40, <=50K
39, Federal-gov, HS-grad,9, Adm-clerical, Black, Male,40, <=50K
27, State-gov, Bachelors,13, Prof-specialty, White, Male,50, <=50K
48, Private, Bachelors,13, Exec-managerial, White, Male,60, >50K
20, Private, HS-grad,9, Other-service, White, Female,40, <=50K
17, Private, 12th,8, Handlers-cleaners, White, Male,17, <=50K
47, Local-gov, Prof-school,15, Prof-specialty, White, Male,35, <=50K
37, Private, HS-grad,9, Handlers-cleaners, White, Male,40, <=50K
36, Self-emp-inc, Some-college,10, Protective-serv, White, Male,60, >50K
24, Private, HS-grad,9, Sales, White, Female,36, <=50K
22, Private, HS-grad,9, Sales, White, Female,33, <=50K
20,, HS-grad,9,, White, Male,40, <=50K
35,, HS-grad,9,, White, Female,25, <=50K
61, Private, Some-college,10, Sales, White, Male,40, >50K
59, Private, HS-grad,9, Transport-moving, White, Male,40, >50K
